#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
-180.00000000000	-13.778331630839
-179.00000000000	-13.747888995744
-178.00000000000	-13.750125668691
-177.00000000000	-13.787774165724
-176.00000000000	-13.863469181758
-175.00000000000	-13.979855760588
-174.00000000000	-14.139695665155
-173.00000000000	-14.345975424982
-172.00000000000	-14.602020218092
-171.00000000000	-14.911618062069
-170.00000000000	-15.279158509767
-169.00000000000	-15.709788399350
-168.00000000000	-16.209582254559
-167.00000000000	-16.785712022354
-166.00000000000	-17.446568879799
-165.00000000000	-18.201712082523
-164.00000000000	-19.061331048644
-163.00000000000	-20.035492273395
-162.00000000000	-21.125227434996
-161.00000000000	-22.316115833325
-160.00000000000	-23.546595388702
-159.00000000000	-24.659365756237
-158.00000000000	-25.366986074208
-157.00000000000	-25.372303567158
-156.00000000000	-24.653153451024
-155.00000000000	-23.488272509887
-154.00000000000	-22.177008616571
-153.00000000000	-20.891341736687
-152.00000000000	-19.700885424069
-151.00000000000	-18.624266312246
-150.00000000000	-17.659443133238
-149.00000000000	-16.797348819860
-148.00000000000	-16.027395954719
-147.00000000000	-15.339515445925
-146.00000000000	-14.724339755056
-145.00000000000	-14.175147935593
-144.00000000000	-13.684895648397
-143.00000000000	-13.248047087087
-142.00000000000	-12.859891398552
-141.00000000000	-12.516401963153
-140.00000000000	-12.214117398628
-139.00000000000	-11.950043203982
-138.00000000000	-11.721571219165
-137.00000000000	-11.526413808663
-136.00000000000	-11.362549952839
-135.00000000000	-11.228180861366
-134.00000000000	-11.121693153734
-133.00000000000	-11.041628028230
-132.00000000000	-10.986655150615
-131.00000000000	-10.955550240801
-130.00000000000	-10.947175529543
-129.00000000000	-10.960462407430
-128.00000000000	-10.994395704411
-127.00000000000	-11.047999127648
-126.00000000000	-11.120321455067
-125.00000000000	-11.210423137424
-124.00000000000	-11.317363007940
-123.00000000000	-11.440299438355
-122.00000000000	-11.577987709222
-121.00000000000	-11.729543002258
-120.00000000000	-11.893878180671
-119.00000000000	-12.069832220302
-118.00000000000	-12.256153980290
-117.00000000000	-12.451485624656
-116.00000000000	-12.654346114354
-115.00000000000	-12.863115429149
-114.00000000000	-13.076020469774
-113.00000000000	-13.291123925072
-112.00000000000	-13.506317743342
-111.00000000000	-13.719323178154
-110.00000000000	-13.927699617152
-109.00000000000	-14.128864451073
-108.00000000000	-14.320125983076
-107.00000000000	-14.498730699015
-106.00000000000	-14.661925037061
-105.00000000000	-14.807030114251
-104.00000000000	-14.931525826643
-103.00000000000	-15.033138639742
-102.00000000000	-15.109925668479
-101.00000000000	-15.160346804915
-100.00000000000	-15.183317083948
-99.000000000000	-15.178233320866
