#Parameters = {Er=4.4; IE=60; P1=0; P2=167.923; P3=-130.636; P4=17.382; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (1) []"
#-----------------------------------
-180.00000000000	-17.055991278334
-179.00000000000	-16.909413051115
-178.00000000000	-16.775984516832
-177.00000000000	-16.653054734462
-176.00000000000	-16.537341904093
-175.00000000000	-16.425084345577
-174.00000000000	-16.312216843981
-173.00000000000	-16.194579337709
-172.00000000000	-16.068156362029
-171.00000000000	-15.929334934143
-170.00000000000	-15.775157840494
-169.00000000000	-15.603541822842
-168.00000000000	-15.413429270895
-167.00000000000	-15.204849462143
-166.00000000000	-14.978879991658
-165.00000000000	-14.737516728674
-164.00000000000	-14.483476009661
-163.00000000000	-14.219611872694
-162.00000000000	-13.950013775872
-161.00000000000	-13.677868159218
-160.00000000000	-13.406536465046
-159.00000000000	-13.139124693969
-158.00000000000	-12.878405244687
-157.00000000000	-12.626777892107
-156.00000000000	-12.386261124624
-155.00000000000	-12.158504920023
-154.00000000000	-11.944817130486
-153.00000000000	-11.746197265168
-152.00000000000	-11.563373131689
-151.00000000000	-11.396837269135
-150.00000000000	-11.246881274800
-149.00000000000	-11.113626988957
-148.00000000000	-10.997054097248
-147.00000000000	-10.897024095235
-146.00000000000	-10.813095503292
-145.00000000000	-10.745318922015
-144.00000000000	-10.693140774312
-143.00000000000	-10.656123246641
-142.00000000000	-10.633784412063
-141.00000000000	-10.625606292730
-140.00000000000	-10.631041356958
-139.00000000000	-10.649517674476
-138.00000000000	-10.680442916788
-137.00000000000	-10.723207356818
-136.00000000000	-10.777185993798
-135.00000000000	-10.841739905971
-134.00000000000	-10.916216915116
-133.00000000000	-10.999951632913
-132.00000000000	-11.092264949657
-131.00000000000	-11.192463020463
-130.00000000000	-11.299835802782
-129.00000000000	-11.413655201514
-128.00000000000	-11.533172884111
-127.00000000000	-11.657617837587
-126.00000000000	-11.786193752107
-125.00000000000	-11.918076331355
-124.00000000000	-12.052410647796
-123.00000000000	-12.188692520141
-122.00000000000	-12.325227457803
-121.00000000000	-12.461447801559
-120.00000000000	-12.596355457046
-119.00000000000	-12.728914652074
-118.00000000000	-12.858053061360
-117.00000000000	-12.982664256213
-116.00000000000	-13.101611659218
-115.00000000000	-13.213734146611
-114.00000000000	-13.317853385385
-113.00000000000	-13.412782917830
-112.00000000000	-13.497338914971
-111.00000000000	-13.570352416611
-110.00000000000	-13.630682766530
-109.00000000000	-13.677231846682
-108.00000000000	-13.708958625493
-107.00000000000	-13.724893474489
-106.00000000000	-13.724151684884
-105.00000000000	-13.705945638270
-104.00000000000	-13.669595154609
-103.00000000000	-13.614535651495
-102.00000000000	-13.540323890054
-101.00000000000	-13.446641238770
-100.00000000000	-13.333294538843
-99.000000000000	-13.200214785499
-98.000000000000	-13.047453935278
-97.000000000000	-12.875180201621
-96.000000000000	-12.683672209193
-95.000000000000	-12.473312347031
-94.000000000000	-12.244579602498
-93.000000000000	-11.998042085640
-92.000000000000	-11.734349380335
-91.000000000000	-11.454224795932
-90.000000000000	-11.158457548504
-89.000000000000	-10.847937859234
-88.000000000000	-10.523476605870
-87.000000000000	-10.186056530625
-86.000000000000	-9.8366511450624
-85.000000000000	-9.4762601243041
-84.000000000000	-9.1059015304181
-83.000000000000	-8.7266043008479
-82.000000000000	-8.3394011198136
-81.000000000000	-7.9453217880386
-80.000000000000	-7.5453871939137
-79.000000000000	-7.1406039693096
-78.000000000000	-6.7319598883680
-77.000000000000	-6.3204200405331
-76.000000000000	-5.9069237823683
-75.000000000000	-5.4923824484034
-74.000000000000	-5.0776777807677
-73.000000000000	-4.6636610214984
-72.000000000000	-4.2511526003803
-71.000000000000	-3.8409423447831
-70.000000000000	-3.4337901356795
-69.000000000000	-3.0304269351793
-68.000000000000	-2.6315561147271
-67.000000000000	-2.2378550188355
-66.000000000000	-1.8499767061886
-65.000000000000	-1.4685518175654
-64.000000000000	-1.0941905278392
-63.000000000000	-0.72748454695579
-62.000000000000	-0.36900914202672
-61.000000000000	-0.019325159354248
-60.000000000000	0.32101896877412
-59.000000000000	0.65148524232376
-58.000000000000	0.97154414188707
-57.000000000000	1.2806727082001
-56.000000000000	1.5785648062524
-55.000000000000	1.8643062977712
-54.000000000000	2.1375736647036
-53.000000000000	2.3978522336944
-52.000000000000	2.6446247314180
-51.000000000000	2.8773694341505
-50.000000000000	3.0955582831803
-49.000000000000	3.2986549482471
-48.000000000000	3.4861128192269
-47.000000000000	3.6573729041456
-46.000000000000	3.8118616092321
-45.000000000000	3.9489883740291
-44.000000000000	4.0681431315051
-43.000000000000	4.1686935595455
-42.000000000000	4.2499820860943
-41.000000000000	4.3113226054568
-40.000000000000	4.3519968578110
-39.000000000000	4.3712504177302
-38.000000000000	4.3682882304846
-37.000000000000	4.3422696271009
-36.000000000000	4.2923027407679
-35.000000000000	4.2174382385544
-34.000000000000	4.1166622742274
-33.000000000000	3.9889396250273
-32.000000000000	3.8330381621970
-31.000000000000	3.6477186403958
-30.000000000000	3.4316222807289
-29.000000000000	3.1832761891310
-28.000000000000	2.9010801235604
-27.000000000000	2.5832924077405
-26.000000000000	2.2280155052628
-25.000000000000	1.8331822584868
-24.000000000000	1.3965446335304
-23.000000000000	0.91566823419621
-22.000000000000	0.38793826003348
-21.000000000000	-0.18941332027107
-20.000000000000	-0.81924265180797
-19.000000000000	-1.5043624106904
-18.000000000000	-2.2472953942882
-17.000000000000	-3.0498321856844
-16.000000000000	-3.9124554803723
-15.000000000000	-4.8323406284550
-14.000000000000	-5.8021567566767
-13.000000000000	-6.8062358511748
-12.000000000000	-7.8162965067785
-11.000000000000	-8.7870314679830
-10.000000000000	-9.6553738000331
-9.0000000000000	-10.349929517317
-8.0000000000000	-10.814332587598
-7.0000000000000	-11.034431104578
-6.0000000000000	-11.047134958137
-5.0000000000000	-10.922283288952
-4.0000000000000	-10.734619615381
-3.0000000000000	-10.545497235956
-2.0000000000000	-10.398072779751
-1.0000000000000	-10.319972677878
0.0000000000000	-10.327711814831
1.0000000000000	-10.429977637058
2.0000000000000	-10.630026682410
3.0000000000000	-10.924769827771
4.0000000000000	-11.302601749180
5.0000000000000	-11.737972530984
6.0000000000000	-12.182990031278
7.0000000000000	-12.558847229486
8.0000000000000	-12.757449596509
9.0000000000000	-12.670017789575
10.000000000000	-12.241601934240
11.000000000000	-11.506518617924
12.000000000000	-10.563752070267
13.000000000000	-9.5214824916173
14.000000000000	-8.4618151855539
15.000000000000	-7.4350435975093
16.000000000000	-6.4674659610886
17.000000000000	-5.5704440194325
18.000000000000	-4.7473683976845
19.000000000000	-3.9970792174438
20.000000000000	-3.3165155238538
21.000000000000	-2.7018131365548
22.000000000000	-2.1489272486888
23.000000000000	-1.6539398137220
24.000000000000	-1.2131989040420
25.000000000000	-0.82337007263994
26.000000000000	-0.48144289187558
27.000000000000	-0.18471583509990
28.000000000000	0.069228170704207
29.000000000000	0.28254906778670
30.000000000000	0.45717659711411
31.000000000000	0.59483528556236
32.000000000000	0.69706686076356
33.000000000000	0.76524994291214
34.000000000000	0.80045697692476
35.000000000000	0.80417406690196
36.000000000000	0.77715255825584
37.000000000000	0.72026893271428
38.000000000000	0.63429939120749
39.000000000000	0.51992707558426
40.000000000000	0.37774783630931
41.000000000000	0.20827467788253
42.000000000000	0.011940981985357
43.000000000000	-0.21089742189608
44.000000000000	-0.45996129787247
45.000000000000	-0.73504814557162
46.000000000000	-1.0360334607644
47.000000000000	-1.3628731644275
48.000000000000	-1.7156072847591
49.000000000000	-2.0943650163773
50.000000000000	-2.4993713276887
51.000000000000	-2.9309553438970
52.000000000000	-3.3895608028019
53.000000000000	-3.8757589679949
54.000000000000	-4.3902644953332
55.000000000000	-4.9339548917862
